BB18NP,BB18NP,0,0
BB18NP,BB54EA,670,10307
BB18NP,BB55QE,792,10766
BB18NP,BB54QB,827,6925
BB18NP,BB54QW,838,9761
BB18NP,BB55BU,880,11184
BB18NP,BB56PN,885,11844
BB18NP,BB52LF,1117,12997
BB18NP,BB98NW,1240,25454
BB18NP,BB99BY,1384,25000
BB18NP,BB103FB,1386,21315
BB18NP,BB88DH,1447,29089
BB18NP,PR77AE,1449,29883
BB18NP,PR77AQ,1453,30065
BB18NP,PR77BG,1471,30064
BB18NP,BB90JR,1571,25734
BB18NP,PR71BS,1610,30316
BB18NP,BB103RH,1619,28938
BB18NP,PR73FA,1677,31066
BB18NP,PR73EF,1717,31392
BB18NP,BL23BS,1758,26858
BB18NP,BL84HJ,1760,26650
BB18NP,BL97HZ,1799,38126
BB18NP,BL09XG,1806,26487
BB18NP,BL83AG,1849,28219
BB18NP,BL22JR,1864,27691
BB18NP,OL102TT,1909,41040
BB18NP,WN60TD,1910,41001
BB18NP,BL53WG,1926,42405
BB18NP,PR73RJ,1935,33762
BB18NP,BL22TF,1935,28852
BB18NP,BL70HF,1942,25177
BB18NP,BL66EE,1942,41907
BB18NP,WN69RN,1946,41428
BB18NP,PR75TW,1969,37583
BB18NP,BL81JT,1980,29148
BB18NP,BL17JB,1997,29281
BB18NP,WN68HE,2006,41786
BB18NP,WN60LF,2007,41783
BB18NP,BL82RB,2008,29468
BB18NP,BL95DL,2018,39816
BB18NP,BL53UT,2028,43409
BB18NP,BL26DQ,2035,29609
BB18NP,BL97RR,2046,40067
BB18NP,BL53YF,2051,45966
BB18NP,BL53UA,2056,45974
BB18NP,BL18RL,2077,29541
BB18NP,BL16HY,2078,34926
BB18NP,WN21XE,2083,43528
BB18NP,BB185RS,2093,35560
BB18NP,BL67QY,2093,44280
BB18NP,PR69LZ,2095,35233
BB18NP,OL104AT,2147,39795
BB18NP,OL101DL,2156,41208
BB18NP,BL16NP,2159,35502
BB18NP,M262QJ,2163,42098
BB18NP,BL16DH,2171,35846
BB18NP,WN21RN,2178,44301
BB18NP,BL18SF,2183,29768
BB18NP,BL82BU,2188,30860
BB18NP,M97HQ,2191,47613
BB18NP,M469HL,2203,48485
BB18NP,BL18SA,2213,29862
BB18NP,WN60UA,2223,43022
BB18NP,BL52BN,2223,44731
BB18NP,WN21DY,2251,44901
BB18NP,OL101FP,2254,42012
BB18NP,OL101FQ,2256,42034
BB18NP,BL64HS,2262,47317
BB18NP,BL14DS,2273,39313
BB18NP,BL67BL,2281,38944
BB18NP,OL98RL,2281,50816
BB18NP,OL101RN,2281,41945
BB18NP,M389QX,2282,49560
BB18NP,BL35LN,2286,47831
BB18NP,BL52JS,2294,47990
BB18NP,OL98BQ,2311,50137
BB18NP,OL98PH,2322,50922
BB18NP,M280NG,2322,50288
BB18NP,OL99DT,2327,51436
BB18NP,M246EH,2327,48976
BB18NP,BL52DW,2335,45535
BB18NP,OL98LW,2338,50875
BB18NP,WN49HH,2338,53214
BB18NP,OL113NN,2347,52720
BB18NP,M98RN,2349,48882
BB18NP,BL40BG,2353,50283
BB18NP,M282SQ,2366,56002
BB18NP,OL145SQ,2368,33928
BB18NP,WN40SY,2369,54360
BB18NP,M270NG,2370,50052
BB18NP,M270JN,2380,56122
BB18NP,M264NG,2382,32546
BB18NP,M97FZ,2389,48850
BB18NP,M359HP,2390,52461
BB18NP,M389LU,2390,50500
BB18NP,BL48JE,2403,52698
BB18NP,M275WW,2406,50331
BB18NP,M97GE,2424,48322
BB18NP,M242UJ,2426,51572
BB18NP,WN67NB,2428,45240
BB18NP,BL32TD,2438,50613
BB18NP,M307BU,2450,55860
BB18NP,M279BA,2461,50866
BB18NP,OL112YB,2462,54320
BB18NP,WN67HL,2473,45517
BB18NP,M74XN,2475,48423
BB18NP,OL96JU,2478,52925
BB18NP,M73BL,2478,48474
